OPC.DeviceGroup.PPR.1S.ESD84068A,1
OPC.DeviceGroup.PPR.1S.ESD84068B,1
OPC.DeviceGroup.PPR.1S.ESD84068C,1
OPC.DeviceGroup.PPR.1S.ESD84068D,1
OPC.DeviceGroup.PPR.1S.ESD84070A,1
OPC.DeviceGroup.PPR.1S.ESD84070B,1
OPC.DeviceGroup.PPR.1S.ESD84071A,1
OPC.DeviceGroup.PPR.1S.ESD84071B,1
OPC.DeviceGroup.PPR.1S.ESD84072A,1
OPC.DeviceGroup.PPR.1S.ESD84072B,1
OPC.DeviceGroup.PPR.1S.ESD84073A,1
OPC.DeviceGroup.PPR.1S.ESD84073B,1
OPC.DeviceGroup.PPR.1S.ESD84074A,1
OPC.DeviceGroup.PPR.1S.ESD84074B,1
OPC.DeviceGroup.PPR.1S.ESD97001,0
OPC.DeviceGroup.PPR.1S.ESD97002,0
OPC.DeviceGroup.PPR.1S.ESD97004,1
OPC.DeviceGroup.PPR.1S.ESD97007,1
OPC.DeviceGroup.PPR.1S.ESD97008,1
OPC.DeviceGroup.PPR.1S.ESD97010A,1
OPC.DeviceGroup.PPR.1S.ESD97010B,1
OPC.DeviceGroup.PPR.1S.ESD97010C,1
OPC.DeviceGroup.PPR.1S.ESD97010D,1
OPC.DeviceGroup.PPR.1S.ESD97010E,1
OPC.DeviceGroup.PPR.1S.ESD97010F,1
OPC.DeviceGroup.PPR.1S.ESD97010G,1
OPC.DeviceGroup.PPR.1S.ESD97011A,0
OPC.DeviceGroup.PPR.1S.ESD97011C,1
OPC.DeviceGroup.PPR.1S.ESD97011D,1
OPC.DeviceGroup.PPR.1S.ESD97022,1
OPC.DeviceGroup.PPR.1S.ESD97023,1
OPC.DeviceGroup.PPR.1S.ESD97024,1
OPC.DeviceGroup.PPR.1S.ESD97025,1
OPC.DeviceGroup.PPR.1S.ESD97026,0
OPC.DeviceGroup.PPR.1S.ESD97027,0
OPC.DeviceGroup.PPR.1S.ESDA40300A,1
OPC.DeviceGroup.PPR.1S.ESDA40300B,1
OPC.DeviceGroup.PPR.1S.ESDBTV40023,1
OPC.DeviceGroup.PPR.1S.ESDBTV40051,1
OPC.DeviceGroup.PPR.1S.ESDBTV40110,1
OPC.DeviceGroup.PPR.1S.ESDBTV40111,1
